"(N_r,N_c)",I,m,hat n,transformation,quantization,encoding,mapping,seed,w,nmse_narma_20
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 0, 1, 2)",1.0224597597985956
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 0, 2, 1)",1.0179801181631165
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 0, 2, 2)",1.019581665581332
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1, 0, 1)",1.0307093152696054
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1, 0, 2)",1.0364605662556243
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1, 1, 1)",1.0097513578501092
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1, 1, 2)",1.040245573904052
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1, 2, 1)",1.0266561315076586
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1, 2, 2)",1.0307799820202943
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 2, 0, 1)",1.0262646065056873
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 2, 0, 2)",1.0425852417817278
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 2, 1, 1)",1.0202430505521485
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 2, 1, 2)",1.042776940976671
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 2, 2, 1)",1.0198114899670825
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 2, 2, 2)",1.011673185274358
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 0, 0, 1)",1.0265431388224753
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 0, 0, 2)",1.0155721759299632
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 0, 1, 1)",1.018481935681019
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 0, 1, 2)",1.0209861197673202
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 0, 2, 1)",1.0308905508472008
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 0, 2, 2)",1.0311619639957672
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1, 0, 1)",1.0326318590086108
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1, 0, 2)",1.0287845295695015
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1, 1, 1)",1.0146283751531116
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1, 1, 2)",1.0081550730901552
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1, 2, 1)",1.0287289169866154
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1, 2, 2)",1.0073203820098189
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 0, 1)",1.0221178964652544
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 0, 2)",1.026838680140751
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 1, 1)",1.0331243435876905
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 1, 2)",1.0431965094220823
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 2, 1)",1.0365207213274288
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 2, 2)",1.0091822332449023
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 0, 0)",0.8680820235273822
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 0, 1)",1.0208093605535276
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 0, 2)",1.0156993518299524
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 1, 0)",1.0278362454161094
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 1, 1)",1.0314922139461078
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 1, 2)",1.0238712026675767
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 2, 0)",1.014791757262747
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 2, 1)",1.0464023405656833
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 2, 2)",1.014138055927079
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 0, 0)",1.0169152018648868
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 0, 1)",1.0209626143725714
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 0, 2)",1.0278470548025378
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 1, 0)",1.029995601104102
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 1, 1)",1.0322925855202054
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 1, 2)",1.0244582235133697
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 2, 0)",1.0205453511027804
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 2, 1)",1.0215675993646225
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 2, 2)",1.0062747500850115
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 0, 0)",1.0336929064851412
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 0, 1)",1.0186849553755166
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 0, 2)",1.0231470275805932
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 1, 0)",1.0171329753853218
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 1, 1)",1.022374741460665
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 1, 2)",1.0073383347474714
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 2, 0)",1.0223588735829117
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 2, 1)",1.0256484285018992
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 2, 2)",1.0149106281647835
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 0, 0)",1.0307138606089392
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 0, 1)",1.0242134929171725
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 0, 2)",1.020664753938156
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 1, 0)",1.0268373136281392
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 1, 1)",1.0233442488175952
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 1, 2)",1.0393278263832453
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 2, 0)",1.0436134647808788
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 2, 1)",1.0124580212446128
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 2, 2)",1.0207629232663948
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 0, 0)",1.0204918414197055
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 0, 1)",1.027631437143762
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 0, 2)",1.010203549534106
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 1, 0)",1.0241581863097673
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 1, 1)",1.0212196287555562
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 1, 2)",1.020866860670664
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 2, 0)",1.0350133212110684
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 2, 1)",1.0295225321419783
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 2, 2)",1.044012325558607
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 0, 0)",1.0256383826739286
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 0, 1)",1.0231531669183969
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 0, 2)",1.027423415120747
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 1, 0)",1.0319285211911826
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 1, 1)",1.0158907739449303
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 1, 2)",1.0158033140153264
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 2, 0)",1.0179450814230857
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 2, 1)",1.021129077462806
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 2, 2)",1.0070194212971075
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 0, 0)",1.0526328866142571
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 0, 1)",1.0106443044568951
