"(N_r,N_c)",I,m,hat n,transformation,quantization,encoding,mapping,seed,w,nmse_narma_30
"(16, 32)",4,3,1,scale_offset,scale_offset,subtractive,random,42,"(0,)",1.0008625286862254
"(16, 32)",4,3,1,scale_offset,scale_offset,subtractive,random,42,"(1,)",1.0009789066204224
"(16, 32)",4,3,1,scale_offset,scale_offset,subtractive,random,42,"(2,)",1.0008607715060072
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1)",0.826892281781997
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2)",0.8241902113711727
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1)",1.0196118212547332
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 2)",1.038345468169833
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1)",1.0221134611271887
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2)",1.025101585850979
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0)",0.862980749729634
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1)",1.0353480787295597
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2)",1.0244346398168225
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0)",1.022897534609969
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1)",1.020461352775667
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2)",1.0141612792307175
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0)",1.0232879919491211
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1)",1.0106115871230714
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2)",1.01420000245777
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0)",0.8548947862181628
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1)",1.0183531342917946
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2)",1.0285970785298764
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0)",1.0216764401174732
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1)",1.025565936077071
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2)",1.008878430739392
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0)",1.021363751734797
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 1)",1.0162802424277702
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 2)",1.0164329194503825
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 0, 0, 1)",0.841980368951746
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 0, 0, 2)",0.8378127412814145
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 0, 1, 1)",1.0053798393754534
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 0, 1, 2)",1.0082694792815183
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 0, 2, 1)",1.0187510409566622
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 0, 2, 2)",1.0097642951593488
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1, 0, 1)",1.0115968286063275
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1, 0, 2)",1.013324693369984
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1, 1, 1)",1.0301154351408226
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1, 1, 2)",1.0116222743277692
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1, 2, 1)",1.0284979263116931
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1, 2, 2)",1.030009782321501
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2, 0, 1)",1.0150168214342667
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2, 0, 2)",1.01568481615751
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2, 1, 1)",1.020464102856003
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2, 1, 2)",1.0293029539570833
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2, 2, 1)",1.020164415758564
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2, 2, 2)",1.029929552086274
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 0, 0, 1)",1.0350699057726245
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 0, 0, 2)",1.0289456785616238
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 0, 1, 1)",1.032168857256189
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 0, 1, 2)",1.0200273557571178
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 0, 2, 1)",1.0186390967569474
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 0, 2, 2)",1.011488824489488
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1, 0, 1)",1.013433250338548
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1, 0, 2)",1.0239473731400277
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1, 1, 1)",1.0248572923284118
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1, 1, 2)",1.0266279790992887
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1, 2, 1)",1.025295210579073
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1, 2, 2)",1.022769668119779
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 2, 0, 1)",1.0298956622117796
