"(N_r,N_c)",I,m,hat n,transformation,quantization,encoding,mapping,seed,w,nmse_narma_10
"(16, 32)",4,3,1,scale_offset,scale_offset,subtractive,random,42,"(0,)",1.0258887944025847
"(16, 32)",4,3,1,scale_offset,scale_offset,subtractive,random,42,"(1,)",1.0259156377049938
"(16, 32)",4,3,1,scale_offset,scale_offset,subtractive,random,42,"(2,)",1.0259595232255831
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1)",0.8475140419724811
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2)",0.8671732045768231
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1)",1.043489452539459
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 2)",1.0568091800704946
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1)",1.054716284435652
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2)",1.0333596358491397
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0)",0.8763084327435906
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1)",1.0471822330135532
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2)",1.0385015800692543
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0)",1.031845371737354
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1)",1.0532011294266284
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2)",1.0706044638365737
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0)",1.0480543775123012
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1)",1.0563524683949377
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2)",1.047086650810086
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0)",0.8475883657997653
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1)",1.038354310178098
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2)",1.06127945899048
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0)",1.051836806899091
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1)",1.0475996940148748
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2)",1.05997526536249
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0)",1.031240740941081
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 1)",1.06323583043472
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 2)",1.0542004002384904
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 0, 0, 1)",0.8972804991857894
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 0, 0, 2)",0.8903040624366642
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 0, 1, 1)",1.067205572985945
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 0, 1, 2)",1.04794749175997
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 0, 2, 1)",1.0454925928767305
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 0, 2, 2)",1.0590392454503776
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1, 0, 1)",1.0216169330391098
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1, 0, 2)",1.0570233365969484
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1, 1, 1)",1.0669308752774256
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1, 1, 2)",1.0707478527703391
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1, 2, 1)",1.0522108710301372
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1, 2, 2)",1.0688338930632335
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2, 0, 1)",1.0482528828139963
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2, 0, 2)",1.046398264323654
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2, 1, 1)",1.0450736397544358
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2, 1, 2)",1.050424352211136
