"(N_r,N_c)",I,m,hat n,transformation,quantization,encoding,mapping,seed,w,nmse_narma_10
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2, 2, 1)",1.053356526668963
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2, 2, 2)",1.061772379268257
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 0, 0, 1)",1.0778271450857704
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 0, 0, 2)",1.0620493857493438
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 0, 1, 1)",1.04665742739182
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 0, 1, 2)",1.052353045501149
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 0, 2, 1)",1.056277417998161
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 0, 2, 2)",1.0648935737556726
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1, 0, 1)",1.0517167531620728
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1, 0, 2)",1.0383301816616597
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1, 1, 1)",1.0678886642355032
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1, 1, 2)",1.0598087429776484
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1, 2, 1)",1.0590057101046122
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1, 2, 2)",1.064378601894146
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 2, 0, 1)",1.0482025358781903
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 2, 0, 2)",1.0506651544267238
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 2, 1, 1)",1.0465226306090951
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 2, 1, 2)",1.0481195674943335
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 2, 2, 1)",1.0527983565638943
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 2, 2, 2)",1.0567232354762326
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 0, 0, 1)",1.064176704614496
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 0, 0, 2)",1.0690069328838865
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 0, 1, 1)",1.06559483837267
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 0, 1, 2)",1.062747791647885
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 0, 2, 1)",1.0626899953819589
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 0, 2, 2)",1.0415374261626715
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1, 0, 1)",1.0542737449056905
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1, 0, 2)",1.0501798066896326
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1, 1, 1)",1.06438083982347
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1, 1, 2)",1.065965770784214
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1, 2, 1)",1.0613591429869993
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1, 2, 2)",1.0488187767169743
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 0, 1)",1.043001878944671
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 0, 2)",1.0372005876562578
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 1, 1)",1.054807345035914
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 1, 2)",1.0696986746483923
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 2, 1)",1.055155022891605
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 2, 2)",1.06249765444897
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 0, 0)",0.9339763220241716
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 0, 1)",1.0625825959715027
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 0, 2)",1.051697183224872
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 1, 0)",1.0587460168399117
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 1, 1)",1.0504815638905265
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 1, 2)",1.0547412786491
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 2, 0)",1.040669931562415
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 2, 1)",1.0503548722263218
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 2, 2)",1.050290185110143
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 0, 0)",1.0590273181619378
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 0, 1)",1.0592551801050916
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 0, 2)",1.041364965617522
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 1, 0)",1.062850965300815
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 1, 1)",1.03417953244372
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 1, 2)",1.049092922551538
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 2, 0)",1.0687992876816232
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 2, 1)",1.0521782428858064
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 2, 2)",1.048933025876471
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 0, 0)",1.0421869234001526
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 0, 1)",1.0604620482063445
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 0, 2)",1.0541012803026926
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 1, 0)",1.0559857351890485
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 1, 1)",1.0842905970684402
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 1, 2)",1.0483686626407591
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 2, 0)",1.0420176657339533
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 2, 1)",1.0549032725020704
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 2, 2)",1.045613903569386
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 0, 0)",1.0334735790502505
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 0, 1)",1.03895573449598
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 0, 2)",1.0475374051334243
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 1, 0)",1.060516161286384
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 1, 1)",1.0488954335015217
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 1, 2)",1.0548239503792758
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 2, 0)",1.0539836048465878
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 2, 1)",1.0439811314003276
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 2, 2)",1.055922073752385
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 0, 0)",1.0439462778358946
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 0, 1)",1.0698918700726654
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 0, 2)",1.054847425213235
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 1, 0)",1.0556851851535338
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 1, 1)",1.037608835749553
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 1, 2)",1.039628350262391
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 2, 0)",1.0581916001111835
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 2, 1)",1.0521110833550464
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 2, 2)",1.0477687411558676
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 0, 0)",1.0462485198096696
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 0, 1)",1.0554976609067828
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 0, 2)",1.0616009552451011
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 1, 0)",1.0589894408051117
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 1, 1)",1.0290434860005562
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 1, 2)",1.054299285800533
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 2, 0)",1.0336003184609726
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 2, 1)",1.0482620204698847
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 2, 2)",1.0673169631487818
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 0, 0)",1.037533383192571
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 0, 1)",1.0771971399093945
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 0, 2)",1.06487564253043
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 1, 0)",1.050525345632898
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 1, 1)",1.0754000404158808
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 1, 2)",1.0387293051511424
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 2, 0)",1.054146679089915
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 2, 1)",1.0417054560625305
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 2, 2)",1.0318518113571356
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 0, 0)",1.0520433805808167
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 0, 1)",1.042762846437005
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 0, 2)",1.0487122926797423
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 1, 0)",1.0486521854570328
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 1, 1)",1.0417973603424653
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 1, 2)",1.0532321969974354
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 2, 0)",1.0686119577653226
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 2, 1)",1.0656674488421338
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 2, 2)",1.0621906076463588
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 0, 0)",1.0318623982856396
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 0, 1)",1.0592965798909018
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 0, 2)",1.0398893912608722
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 1, 0)",1.0612351487044691
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 1, 1)",1.0560700938621324
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 1, 2)",1.0648087804001516
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 2, 0)",1.0588371243251478
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 2, 1)",1.0617208340774316
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 2, 2)",1.0357921378952963
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 0, 0)",0.9243721167623684
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 0, 1)",1.0517272080648674
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 0, 2)",1.064139535042381
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 1, 0)",1.035391250137158
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 1, 1)",1.039665965993778
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 1, 2)",1.061636293129772
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 2, 0)",1.0628063498904712
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 2, 1)",1.0543395365977764
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 2, 2)",1.0511675683717498
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 0, 0)",1.0405269761007327
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 0, 1)",1.0453936281830571
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 0, 2)",1.0661071187688236
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 1, 0)",1.039961952535643
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 1, 1)",1.048046525311968
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 1, 2)",1.0535625778626003
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 2, 0)",1.053886676207463
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 2, 1)",1.0379462194833622
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 2, 2)",1.0789767451146064
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 0, 0)",1.0450124309075723
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 0, 1)",1.036715423794147
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 0, 2)",1.0652382304158716
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 1, 0)",1.0583636073427098
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 1, 1)",1.0522644604660911
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 1, 2)",1.0520124484946154
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 2, 0)",1.0570196832946894
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 2, 1)",1.0499076588785674
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 2, 2)",1.0489903439490698
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 0, 0)",1.043326070405034
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 0, 1)",1.0765881037208636
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 0, 2)",1.07163086287711
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 1, 0)",1.0531228368341443
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 1, 1)",1.0399255943646308
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 1, 2)",1.0401315696116291
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 2, 0)",1.0303682171345374
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 2, 1)",1.043760001370254
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 2, 2)",1.058833978869924
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 0, 0)",1.0264637225746829
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 0, 1)",1.0341416856506058
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 0, 2)",1.0546629450722045
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 1, 0)",1.0500681133106358
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 1, 1)",1.0384142073332436
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 1, 2)",1.0448183928219468
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 2, 0)",1.0618905644444463
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 2, 1)",1.067703411188142
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 2, 2)",1.0664821518756356
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 0, 0)",1.0648778745800187
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 0, 1)",1.0577159508615583
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 0, 2)",1.0379026719514532
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 1, 0)",1.071117398329043
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 1, 1)",1.0725393078597518
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 1, 2)",1.0761471921906285
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 2, 0)",1.070030611984568
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 2, 1)",1.0572970237059327
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 2, 2)",1.042382221836294
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 0, 0)",1.0335493188360878
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 0, 1)",1.039954998122962
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 0, 2)",1.039807883142957
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 1, 0)",1.0677403794896367
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 1, 1)",1.0645754522542334
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 1, 2)",1.0453487953626346
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 2, 0)",1.0580545874614322
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 2, 1)",1.0543739238079484
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 2, 2)",1.0330598536096154
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 1, 0, 0)",1.045679947709603
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 1, 0, 1)",1.040266133045093
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 1, 0, 2)",1.0520395760687735
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 1, 1, 0)",1.0429168808777247
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 1, 1, 1)",1.0643365974218275
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 1, 1, 2)",1.050530977951254
