"(N_r,N_c)",I,m,hat n,transformation,quantization,encoding,mapping,seed,w,nmse_nonlin_channel
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(0, 1, 1, 2, 2)",1.0234336613357602
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(0, 1, 2, 0, 1)",1.044962681234697
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(0, 1, 2, 0, 2)",1.0224738578750423
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(0, 1, 2, 1, 1)",1.0254122303175863
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(0, 1, 2, 1, 2)",1.032398041451026
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(0, 1, 2, 2, 1)",1.020670587484526
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(0, 1, 2, 2, 2)",1.0248325737562154
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(0, 2, 0, 0, 1)",1.011215775432314
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(0, 2, 0, 0, 2)",1.0280172726888614
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(0, 2, 0, 1, 1)",1.021831011559932
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(0, 2, 0, 1, 2)",1.0156536865217138
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(0, 2, 0, 2, 1)",1.0398910880360872
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(0, 2, 0, 2, 2)",1.020121151107508
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(0, 2, 1, 0, 1)",1.0258023882065943
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(0, 2, 1, 0, 2)",1.039175997143172
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(0, 2, 1, 1, 1)",1.0313242554287845
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(0, 2, 1, 1, 2)",1.0135658300558437
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(0, 2, 1, 2, 1)",1.0290160898452334
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(0, 2, 1, 2, 2)",1.0316051598552334
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(0, 2, 2, 0, 1)",1.014266268404141
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(0, 2, 2, 0, 2)",1.02035946974562
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(0, 2, 2, 1, 1)",1.0192891114753526
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(0, 2, 2, 1, 2)",1.0324529783246514
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(0, 2, 2, 2, 1)",1.0361272921799862
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(0, 2, 2, 2, 2)",1.0445873512850672
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 0, 0, 0)",0.9443072429846052
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 0, 0, 1)",1.0028939554072824
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 0, 0, 2)",1.023369648656657
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 0, 1, 0)",1.009280153013839
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 0, 1, 1)",1.016701286697913
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 0, 1, 2)",1.028304964758635
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 0, 2, 0)",1.0299162997396376
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 0, 2, 1)",1.0279244529990503
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 0, 2, 2)",1.0301630237909976
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 1, 0, 0)",1.0224016730683894
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 1, 0, 1)",1.0197556790463358
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 1, 0, 2)",1.0298653415999155
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 1, 1, 0)",1.0285174173411864
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 1, 1, 1)",1.014173101480757
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 1, 1, 2)",1.0366294764943766
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 1, 2, 0)",1.0280270314746554
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 1, 2, 1)",1.0164144615974815
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 1, 2, 2)",1.0020447850164844
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 2, 0, 0)",1.0123334518341986
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 2, 0, 1)",1.0253177739271937
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 2, 0, 2)",1.0195362611024092
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 2, 1, 0)",1.0174400121782092
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 2, 1, 1)",1.0190162367439468
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 2, 1, 2)",1.0239453512942325
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 2, 2, 0)",1.0227466164365593
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 2, 2, 1)",1.0400912298312808
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 0, 2, 2, 2)",1.0141325630238984
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 0, 0, 0)",1.0171935862485737
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 0, 0, 1)",1.0212538330226406
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 0, 0, 2)",1.0212342589267642
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 0, 1, 0)",1.0237761684951812
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 0, 1, 1)",1.0235875490273976
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 0, 1, 2)",1.028614276511939
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 0, 2, 0)",1.0173865493095162
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 0, 2, 1)",1.033458872889787
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 0, 2, 2)",1.015235849081192
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 1, 0, 0)",1.0226331591104445
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 1, 0, 1)",1.0179495368515397
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 1, 0, 2)",1.020760944952937
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 1, 1, 0)",1.015520299665462
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 1, 1, 1)",1.017992890965861
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 1, 1, 2)",1.013860901359485
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 1, 2, 0)",1.0229368838738775
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 1, 2, 1)",1.0257757802075294
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 1, 2, 2)",1.0184001247413588
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 2, 0, 0)",1.0206002672181291
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 2, 0, 1)",1.0242085955827809
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 2, 0, 2)",1.0060907711521063
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 2, 1, 0)",1.0341698920761409
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 2, 1, 1)",1.021679478370838
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 2, 1, 2)",1.0198660040593668
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 2, 2, 0)",1.0119859171296892
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 2, 2, 1)",1.0442702391147385
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 1, 2, 2, 2)",1.020337727370966
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 0, 0, 0)",1.032686318720102
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 0, 0, 1)",1.0185659969477496
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 0, 0, 2)",1.0126586847778702
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 0, 1, 0)",1.013919935606849
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 0, 1, 1)",1.0263136669239137
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 0, 1, 2)",1.0186679557914518
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 0, 2, 0)",1.01383172023934
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 0, 2, 1)",1.0131169046250472
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 0, 2, 2)",1.016939427815819
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 1, 0, 0)",1.0335609915650803
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 1, 0, 1)",1.0130325415018522
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 1, 0, 2)",1.0247916085991942
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 1, 1, 0)",1.023347078464875
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 1, 1, 1)",1.0233884730473408
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 1, 1, 2)",1.023525375800047
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 1, 2, 0)",1.0228020002155012
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 1, 2, 1)",1.0131133123769254
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 1, 2, 2)",1.002457943075627
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 2, 0, 0)",1.0173467442560735
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 2, 0, 1)",1.0388529331974772
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 2, 0, 2)",1.0127753201748435
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 2, 1, 0)",1.0323424329396502
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 2, 1, 1)",1.0481932962727194
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 2, 1, 2)",1.029982783907873
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 2, 2, 0)",1.033558163387542
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 2, 2, 1)",1.022598922335164
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(1, 2, 2, 2, 2)",1.0016871357212984
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 0, 0, 0)",0.8874989023061152
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 0, 0, 1)",1.0109594152929129
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 0, 0, 2)",1.0177002298961435
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 0, 1, 0)",1.0161246126702848
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 0, 1, 1)",1.0431589291268828
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 0, 1, 2)",1.030010755676254
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 0, 2, 0)",1.0081327178514623
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 0, 2, 1)",1.0201844578627994
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 0, 2, 2)",1.0177553076030352
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 1, 0, 0)",1.0041565858551214
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 1, 0, 1)",1.0211420273738046
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 1, 0, 2)",1.0214011939300849
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 1, 1, 0)",1.016137350988266
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 1, 1, 1)",1.0308279066650967
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 1, 1, 2)",1.035274249683902
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 1, 2, 0)",1.027124545355753
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 1, 2, 1)",1.0135966660460596
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 1, 2, 2)",1.0142813455822737
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 2, 0, 0)",1.0204662361214796
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 2, 0, 1)",1.0297914399208994
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 2, 0, 2)",1.00955404536113
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 2, 1, 0)",1.0234837721772363
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 2, 1, 1)",1.0159106247620542
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 2, 1, 2)",1.0067734962780186
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 2, 2, 0)",1.027807488383213
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 2, 2, 1)",1.0165710285526866
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 0, 2, 2, 2)",1.0130083661434128
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 0, 0, 0)",1.03036744448248
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 0, 0, 1)",1.0185446646863563
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 0, 0, 2)",1.0120608181930515
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 0, 1, 0)",1.0235140494767885
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 0, 1, 1)",1.0202101709786735
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 0, 1, 2)",1.01302564634625
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 0, 2, 0)",1.0298599638048496
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 0, 2, 1)",1.025723975578484
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 0, 2, 2)",1.020559637119283
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 1, 0, 0)",1.0204838733616293
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 1, 0, 1)",1.017846830331279
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 1, 0, 2)",1.0328531805146337
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 1, 1, 0)",1.024333750351248
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 1, 1, 1)",1.0016593320314426
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 1, 1, 2)",1.0129983844298922
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 1, 2, 0)",1.036184497778189
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 1, 2, 1)",1.040679523591142
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 1, 2, 2)",1.0375332716846537
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 2, 0, 0)",1.0483826305302826
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 2, 0, 1)",1.0284570757429434
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 2, 0, 2)",1.0198530739051197
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 2, 1, 0)",1.0410420673380043
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 2, 1, 1)",1.014865235263865
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 2, 1, 2)",1.018419146464765
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 2, 2, 0)",1.0249873010611297
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 2, 2, 1)",1.016628909182096
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 1, 2, 2, 2)",1.0240323586300697
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 0, 0, 0)",1.0107303873981162
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 0, 0, 1)",1.02473075788603
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 0, 0, 2)",1.041328132365275
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 0, 1, 0)",1.0170488294006264
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 0, 1, 1)",1.0215702611486244
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 0, 1, 2)",1.0442559043753108
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 0, 2, 0)",1.027716985605747
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 0, 2, 1)",1.031272483473071
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 0, 2, 2)",1.021935181329413
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 1, 0, 0)",1.028760897036281
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 1, 0, 1)",1.0109948034816545
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 1, 0, 2)",1.025578691700168
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 1, 1, 0)",1.012077675807368
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 1, 1, 1)",1.0220579026866956
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 1, 1, 2)",1.0291558830856993
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 1, 2, 0)",1.023627242116537
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 1, 2, 1)",1.033688853710811
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 1, 2, 2)",1.0200789600468183
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 2, 0, 0)",1.0134344881096105
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 2, 0, 1)",1.0181571881305118
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 2, 0, 2)",1.022846892578792
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 2, 1, 0)",1.0153763137652665
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 2, 1, 1)",1.0141472303075227
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 2, 1, 2)",1.0205131602824555
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 2, 2, 0)",1.024700711994755
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 2, 2, 1)",1.007751204065372
"(16, 32)",4,3,5,scale_offset,scale_offset,xor,random,42,"(2, 2, 2, 2, 2)",1.0109170611128218
"(16, 32)",1,4,1,scale_offset,scale_offset,replacement,random,42,"(0,)",1.0004446002391714
"(16, 32)",1,4,1,scale_offset,scale_offset,replacement,random,42,"(1,)",0.986886915845968
"(16, 32)",1,4,1,scale_offset,scale_offset,replacement,random,42,"(2,)",0.9990547073189694
"(16, 32)",1,4,1,scale_offset,scale_offset,replacement,random,42,"(3,)",1.000434212435768
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(0, 0, 1)",0.1046294497556011
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(0, 0, 2)",0.9990547073189694
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(0, 0, 3)",0.7823068284176347
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(0, 1, 1)",1.0008459816803268
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(0, 1, 2)",0.98693038464394
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(0, 1, 3)",1.001419751630774
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(0, 2, 1)",0.9216334269159786
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(0, 2, 2)",0.9990547085503148
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(0, 2, 3)",0.9513537512599816
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(0, 3, 1)",0.9989713112513952
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(0, 3, 2)",1.0004572658083002
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(0, 3, 3)",0.998895490344907
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(1, 0, 0)",0.104629446517007
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(1, 0, 1)",1.0019178819888803
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(1, 0, 2)",0.915420939891196
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(1, 0, 3)",1.004686766810593
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(1, 1, 0)",1.000845981698586
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(1, 1, 1)",1.0013432126170367
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(1, 1, 2)",1.0010231925360633
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(1, 1, 3)",1.0113106824184428
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(1, 2, 0)",0.9216334246666544
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(1, 2, 1)",1.0000087052792612
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(1, 2, 2)",0.9538225457274068
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(1, 2, 3)",1.0014905359671096
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(1, 3, 0)",0.99897131190444
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(1, 3, 1)",0.9993927417546687
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(1, 3, 2)",0.9989706312775573
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(1, 3, 3)",1.0033489906577884
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(2, 0, 0)",0.9990547073189694
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(2, 0, 1)",0.9154209387598728
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(2, 0, 2)",0.9990547085503148
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(2, 0, 3)",0.9312496837483384
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(2, 1, 0)",0.9869303848534322
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(2, 1, 1)",1.0010231922269122
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(2, 1, 2)",0.9869303851796056
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(2, 1, 3)",0.9990245013002056
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(2, 2, 0)",0.9990547085503148
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(2, 2, 1)",0.9538225445826378
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(2, 2, 2)",0.9990547086567992
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(2, 2, 3)",0.9528573262148536
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(2, 3, 0)",1.0004572657462725
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(2, 3, 1)",0.9989706311377018
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(2, 3, 2)",1.0004572657789994
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(2, 3, 3)",1.0005619621412298
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(3, 0, 0)",0.7823068288849543
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(3, 0, 1)",1.004105105739047
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(3, 0, 2)",0.931249684397996
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(3, 0, 3)",1.0040809260789398
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(3, 1, 0)",1.001419752016429
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(3, 1, 1)",1.0108991553107851
"(16, 32)",1,4,3,scale_offset,scale_offset,replacement,random,42,"(3, 1, 2)",0.9990245013508208
