"(N_r,N_c)",I,m,hat n,transformation,quantization,encoding,mapping,seed,w,nmse_ppst
"(16, 32)",4,3,1,scale_offset,scale_offset,subtractive,random,42,"(0,)",1.0130661485987698
"(16, 32)",4,3,1,scale_offset,scale_offset,subtractive,random,42,"(1,)",0.94812073328139
"(16, 32)",4,3,1,scale_offset,scale_offset,subtractive,random,42,"(2,)",0.9922458717289396
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1)",0.7095615526562113
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2)",0.6828526596189778
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1)",1.032016603849389
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 2)",1.040848774250943
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1)",1.0430330286299767
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2)",1.0253637958933104
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0)",0.6783888856132957
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1)",1.0415599335453087
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2)",1.0390416834897829
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0)",1.0318742468798765
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1)",1.0379679313612626
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2)",1.03869133915612
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0)",1.0235626508067543
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1)",1.0506087281371117
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2)",1.0401706545216214
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0)",0.6346454380741201
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1)",1.034915597474328
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2)",1.0572235327247488
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0)",1.038119914502304
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1)",1.0333330367700622
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2)",1.0256247003876555
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0)",1.0309953424332778
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 1)",1.0365892326455195
"(16, 32)",4,3,3,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 2)",1.029215415265349
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 0, 0, 1)",0.7175926905197823
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 0, 0, 2)",0.64490484711531
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 0, 1, 1)",1.026614148298708
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 0, 1, 2)",1.0110852112768862
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 0, 2, 1)",1.020460232386191
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 0, 2, 2)",1.0321564940091263
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1, 0, 1)",1.0326730655020375
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1, 0, 2)",1.0410392631578125
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1, 1, 1)",1.048284340278198
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1, 1, 2)",1.026771034626427
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1, 2, 1)",1.0448890780231936
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 1, 2, 2)",1.0478237877078664
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2, 0, 1)",1.028986034899226
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2, 0, 2)",1.0406977118451688
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2, 1, 1)",1.0455965587785572
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2, 1, 2)",1.0448640443903925
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2, 2, 1)",1.0170206606126757
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 0, 2, 2, 2)",1.051779842826045
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 0, 0, 1)",1.031434872806747
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 0, 0, 2)",1.0397433143031158
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 0, 1, 1)",1.039928313738579
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 0, 1, 2)",1.029824463593261
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 0, 2, 1)",1.0245400098551198
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 0, 2, 2)",1.025561444967541
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1, 0, 1)",1.0441603440822191
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1, 0, 2)",1.033083547104606
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1, 1, 1)",1.0374952124631058
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1, 1, 2)",1.037188911767177
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1, 2, 1)",1.0506994153315008
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 1, 2, 2)",1.0469655629166594
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 2, 0, 1)",1.0471894120761764
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 2, 0, 2)",1.0388909299496794
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 2, 1, 1)",1.0291660097129691
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 2, 1, 2)",1.032964727149433
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 2, 2, 1)",1.0353951089435331
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 1, 2, 2, 2)",1.0495266969326833
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 0, 0, 1)",1.0401686297715231
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 0, 0, 2)",1.0247082839529906
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 0, 1, 1)",1.037568993043896
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 0, 1, 2)",1.0244172959585702
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 0, 2, 1)",1.029447471305443
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 0, 2, 2)",1.0490514427327238
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1, 0, 1)",1.0396521666720038
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1, 0, 2)",1.0297480751909054
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1, 1, 1)",1.0411637087148924
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1, 1, 2)",1.0437668074914128
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1, 2, 1)",1.0387699870626392
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 1, 2, 2)",1.0318860567461758
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 0, 1)",1.037937894424058
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 0, 2)",1.0439796173432878
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 1, 1)",1.053570342692666
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 1, 2)",1.037850556697414
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 2, 1)",1.0433409557596929
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(0, 2, 2, 2, 2)",1.021543902526042
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 0, 0)",0.7016199693278133
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 0, 1)",1.0138766264634698
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 0, 2)",1.0365825971283031
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 1, 0)",1.036661588467725
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 1, 1)",1.0201944403855792
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 1, 2)",1.0351964521606165
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 2, 0)",1.039170214998544
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 2, 1)",1.0568927018241794
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 0, 2, 2)",1.0468699560898913
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 0, 0)",1.045426287304495
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 0, 1)",1.0268952776237066
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 0, 2)",1.0335846104515285
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 1, 0)",1.0504127949620434
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 1, 1)",1.0291634903955125
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 1, 2)",1.02204355993699
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 2, 0)",1.042999852898706
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 2, 1)",1.0331500609584874
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 1, 2, 2)",1.0337166942640024
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 0, 0)",1.0348446508710087
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 0, 1)",1.046268740623829
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 0, 2)",1.0404532844399952
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 1, 0)",1.0402287660478138
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 1, 1)",1.036704632955243
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 1, 2)",1.0151865833906917
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 2, 0)",1.0394126263979364
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 2, 1)",1.0215612902498523
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 0, 2, 2, 2)",1.0478296171742325
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 0, 0)",1.0144073143069383
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 0, 1)",1.0449183463066405
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 0, 2)",1.0377234778774649
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 1, 0)",1.0128756993038923
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 1, 1)",1.0390011117345967
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 1, 2)",1.0300084073676643
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 2, 0)",1.0437838385635914
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 2, 1)",1.036252414445968
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 0, 2, 2)",1.052340424865894
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 0, 0)",1.0413773721555122
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 0, 1)",1.047106008385982
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 0, 2)",1.0169382308821044
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 1, 0)",1.032652453617282
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 1, 1)",1.0434810657813414
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 1, 2)",1.0618707988425324
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 2, 0)",1.044238353051841
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 2, 1)",1.0409284036075404
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 1, 2, 2)",1.0363114496161427
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 0, 0)",1.0485468374471667
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 0, 1)",1.041251255705452
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 0, 2)",1.0212193333110688
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 1, 0)",1.0124631310582846
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 1, 1)",1.0309365434722153
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 1, 2)",1.027696202944013
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 2, 0)",1.0401577992501227
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 2, 1)",1.0298726024622908
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 1, 2, 2, 2)",1.0289849448779471
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 0, 0)",1.044418273463108
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 0, 1)",1.0188217845463516
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 0, 2)",1.0256983680754106
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 1, 0)",1.0257986184183414
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 1, 1)",1.0265947598692664
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 1, 2)",1.0432456668394456
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 2, 0)",1.0263864370733946
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 2, 1)",1.027067897304886
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 0, 2, 2)",1.0455361580448497
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 0, 0)",1.0410276292755092
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 0, 1)",1.0253155810095358
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 0, 2)",1.059794167552815
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 1, 0)",1.0346552896699956
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 1, 1)",1.0388540553886232
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 1, 2)",1.0358459849479118
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 2, 0)",1.0481686981929408
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 2, 1)",1.0432107708374008
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 1, 2, 2)",1.0442642729630154
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 0, 0)",1.0400446044061835
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 0, 1)",1.0295366029397277
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 0, 2)",1.0383418925317187
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 1, 0)",1.0200090528742856
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 1, 1)",1.0182068229248544
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 1, 2)",1.0398674985420076
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 2, 0)",1.0409959508173114
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 2, 1)",1.0311302697120752
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 2, 2, 2)",1.0299957390667924
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 0, 0)",0.6205423265244082
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 0, 1)",1.0424613403957517
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 0, 2)",1.0199954782123972
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 1, 0)",1.0328827223577317
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 1, 1)",1.0321562932033392
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 1, 2)",1.0476679982890589
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 2, 0)",1.0357963054199897
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 2, 1)",1.0305131056786925
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 0, 2, 2)",1.0174187827286283
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 0, 0)",1.040901308633773
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 0, 1)",1.0430825580149885
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 0, 2)",1.0633909055559991
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 1, 0)",1.0514342724561423
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 1, 1)",1.049389311734546
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 1, 2)",1.0244093556766312
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 2, 0)",1.0293939301948023
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 2, 1)",1.01641614471347
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 1, 2, 2)",1.0368466972944603
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 0, 0)",1.052261295567413
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 0, 1)",1.029780314267725
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 0, 2)",1.0160990700659889
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 1, 0)",1.035521449108589
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 1, 1)",1.0430560032512266
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 1, 2)",1.0338751555273835
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 2, 0)",1.0412948344808972
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 2, 1)",1.0302838032399722
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 0, 2, 2, 2)",1.0204250006486917
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 0, 0)",1.040008179971126
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 0, 1)",1.0309169998849788
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 0, 2)",1.031054461707682
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 1, 0)",1.016512201102202
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 1, 1)",1.0397523037556569
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 1, 2)",1.0276807084450306
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 2, 0)",1.0226919779545969
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 2, 1)",1.046802747168526
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 0, 2, 2)",1.0235988985792372
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 0, 0)",1.0497094786094492
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 0, 1)",1.0438390863298646
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 0, 2)",1.037102867515598
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 1, 0)",1.039870487946724
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 1, 1)",1.0355841222416768
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 1, 2)",1.0368278796870092
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 2, 0)",1.0427252279925006
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 2, 1)",1.050312994557136
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 1, 2, 2)",1.03938333588236
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 0, 0)",1.028940569180942
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 0, 1)",1.0637711309765066
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 0, 2)",1.0291683913663074
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 1, 0)",1.0283929392719395
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 1, 1)",1.0413162241935845
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 1, 2)",1.0499796021016674
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 2, 0)",1.0484692427962798
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 2, 1)",1.0505854471158331
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 1, 2, 2, 2)",1.0139192282079723
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 0, 0)",1.0408074607293003
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 0, 1)",1.0360589549382266
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 0, 2)",1.0472826887133742
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 1, 0)",1.030865569942606
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 1, 1)",1.0603485302724076
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 1, 2)",1.0360584715452448
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 2, 0)",1.009856943659435
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 2, 1)",1.0374717065204233
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 0, 2, 2)",1.038031418066377
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 1, 0, 0)",1.045136520078799
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 1, 0, 1)",1.0183920140767204
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 1, 0, 2)",1.0394850212752895
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 1, 1, 0)",1.035629571279277
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 1, 1, 1)",1.042397021132346
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 1, 1, 2)",1.0266101246645722
"(16, 32)",4,3,5,scale_offset,scale_offset,subtractive,random,42,"(2, 2, 1, 2, 0)",1.0356850108414253
