"(N_r,N_c)",I,m,hat n,transformation,quantization,encoding,mapping,seed,w,nmse_ppst_10
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 3, 0, 2)",0.6238433681945552
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 2, 3, 0, 2)",0.677384741214933
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 2, 3, 0, 2)",0.674060937718583
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 2, 3, 0, 2)",0.4107810451871657
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 3, 0, 3)",1.0434406850573037
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 2, 3, 0, 3)",1.0100918504873482
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 2, 3, 0, 3)",1.0274689960292167
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 2, 3, 0, 3)",1.0224145997582443
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 3, 1, 0)",1.0340110306339771
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 2, 3, 1, 0)",1.035509128798009
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 2, 3, 1, 0)",1.0174192149891272
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 2, 3, 1, 0)",1.026152572980071
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 3, 1, 1)",0.9128789050234491
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 2, 3, 1, 1)",0.9295943485679052
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 2, 3, 1, 1)",0.9470906613078148
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 2, 3, 1, 1)",0.7880687377818824
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 3, 1, 2)",1.0445975828529688
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 2, 3, 1, 2)",1.0305302202852002
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 2, 3, 1, 2)",1.02598595091926
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 2, 3, 1, 2)",1.0478472454070655
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 3, 1, 3)",0.9183238078245906
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 2, 3, 1, 3)",0.937839798292223
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 2, 3, 1, 3)",0.917687996556458
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 2, 3, 1, 3)",0.8022609135916506
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 3, 2, 0)",0.6291606723278318
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 2, 3, 2, 0)",0.6929327159495231
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 2, 3, 2, 0)",0.7116016977098323
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 2, 3, 2, 0)",0.3923803686914492
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 3, 2, 1)",1.0513380153175342
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 2, 3, 2, 1)",1.0035308269587158
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 2, 3, 2, 1)",1.029741190591566
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 2, 3, 2, 1)",1.040189839522292
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 3, 2, 2)",0.6108070925628997
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 2, 3, 2, 2)",0.6806853321498227
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 2, 3, 2, 2)",0.6879072500422178
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 2, 3, 2, 2)",0.3855493240005539
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 3, 2, 3)",1.0497877413961632
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 2, 3, 2, 3)",1.027583600965685
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 2, 3, 2, 3)",1.032512719947735
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 2, 3, 2, 3)",1.0297978777522705
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 3, 3, 0)",1.0341009130606322
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 2, 3, 3, 0)",1.0334444907092386
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 2, 3, 3, 0)",1.0164554168575728
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 2, 3, 3, 0)",1.0354626385605568
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 3, 3, 1)",0.9120435847861892
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 2, 3, 3, 1)",0.9518690080864254
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 2, 3, 3, 1)",0.9288456190907765
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 2, 3, 3, 1)",0.7694721721486368
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 3, 3, 2)",1.0374885655016362
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 2, 3, 3, 2)",1.0243895376198529
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 2, 3, 3, 2)",0.994856428836239
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 2, 3, 3, 2)",1.0473444560075575
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 2, 3, 3, 3)",0.8939265202044823
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 2, 3, 3, 3)",0.9281669705564696
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 2, 3, 3, 3)",0.9517282349673029
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 2, 3, 3, 3)",0.7761234844907371
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 0, 0, 0)",0.8359757388388611
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 0, 0, 0)",0.9238958327082624
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 0, 0, 0)",0.959104127887382
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 0, 0, 0)",0.7979954476254265
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 0, 0, 1)",1.0451177491371006
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 0, 0, 1)",1.0321906786184192
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 0, 0, 1)",1.0307138021825806
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 0, 0, 1)",1.0241570529965474
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 0, 0, 2)",0.8316703125490927
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 0, 0, 2)",0.9261716575357436
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 0, 0, 2)",0.9560770493387598
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 0, 0, 2)",0.8223761270320282
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 0, 0, 3)",1.0463020079344616
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 0, 0, 3)",1.025198502079257
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 0, 0, 3)",1.0157636435969428
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 0, 0, 3)",1.037295815610461
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 0, 1, 0)",1.037208546768782
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 0, 1, 0)",1.0233397297906104
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 0, 1, 0)",1.0259085472847589
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 0, 1, 0)",1.0261358124695883
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 0, 1, 1)",0.6855691605139893
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 0, 1, 1)",0.6891306391513298
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 0, 1, 1)",0.7016719981554633
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 0, 1, 1)",0.5066707513884243
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 0, 1, 2)",1.0363908648079947
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 0, 1, 2)",1.0327696073287258
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 0, 1, 2)",1.0151541268383473
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 0, 1, 2)",1.0286430737797652
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 0, 1, 3)",0.6618327322026417
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 0, 1, 3)",0.6996932236146184
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 0, 1, 3)",0.6995557848083003
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 0, 1, 3)",0.5133637367270062
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 0, 2, 0)",0.8190609574621047
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 0, 2, 0)",0.9435693201306968
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 0, 2, 0)",0.9499278075388908
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 0, 2, 0)",0.79918970061929
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 0, 2, 1)",1.0374945329738705
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 0, 2, 1)",1.0297628432024646
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 0, 2, 1)",1.0383508781038655
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 0, 2, 1)",1.0348427307945711
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 0, 2, 2)",0.839702802119567
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 0, 2, 2)",0.9526441264907404
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 0, 2, 2)",0.94977080084308
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 0, 2, 2)",0.8026516179273188
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 0, 2, 3)",1.051882573495675
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 0, 2, 3)",1.023095324020679
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 0, 2, 3)",1.0335051864891651
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 0, 2, 3)",1.0430096201612702
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 0, 3, 0)",1.0327393961323377
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 0, 3, 0)",1.0232776414900135
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 0, 3, 0)",1.0149907019901514
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 0, 3, 0)",1.030202023464085
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 0, 3, 1)",0.664338946136498
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 0, 3, 1)",0.6835249492442284
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 0, 3, 1)",0.7275510365073629
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 0, 3, 1)",0.5110852526636879
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 0, 3, 2)",1.0197156676730967
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 0, 3, 2)",1.0320748751464832
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 0, 3, 2)",1.0136761364189846
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 0, 3, 2)",1.0464801123276954
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 0, 3, 3)",0.6807393818329519
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 0, 3, 3)",0.670968649578437
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 0, 3, 3)",0.7014738125506924
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 0, 3, 3)",0.5321346985025752
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 1, 0, 0)",1.0537758164525362
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 1, 0, 0)",1.023251125410687
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 1, 0, 0)",1.0244314521667364
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 1, 0, 0)",1.029744641043585
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 1, 0, 1)",0.920851744963426
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 1, 0, 1)",0.9451084990115716
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 1, 0, 1)",0.9276502842330212
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 1, 0, 1)",0.8066498089283961
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 1, 0, 2)",1.0445959234625346
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 1, 0, 2)",1.0330648205588664
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 1, 0, 2)",1.0290103913583382
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 1, 0, 2)",1.0463325225900075
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 1, 0, 3)",0.9293406643355628
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 1, 0, 3)",0.9553657617042692
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 1, 0, 3)",0.9336613379901574
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 1, 0, 3)",0.794395232467225
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 1, 1, 0)",0.5065712699341377
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 1, 1, 0)",0.440230355930554
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 1, 1, 0)",0.6615228272825854
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 1, 1, 0)",0.4433676228376237
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 1, 1, 1)",1.0521479117790558
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 1, 1, 1)",1.002208571575749
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 1, 1, 1)",1.0413959049891608
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 1, 1, 1)",1.02230775453274
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 1, 1, 2)",0.5202913158573784
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 1, 1, 2)",0.4350184641264431
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 1, 1, 2)",0.6665826775372841
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 1, 1, 2)",0.4229120873627507
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 1, 1, 3)",1.043739885883104
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 1, 1, 3)",1.01519235101253
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 1, 1, 3)",1.026800980544204
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 1, 1, 3)",1.029953690861456
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 1, 2, 0)",1.04256411097975
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 1, 2, 0)",1.03427732183639
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 1, 2, 0)",1.0061486428734536
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 1, 2, 0)",1.0529486991880534
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 1, 2, 1)",0.9031857943852372
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 1, 2, 1)",0.9503961763946016
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 1, 2, 1)",0.916609435498328
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 1, 2, 1)",0.8066959497328673
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 1, 2, 2)",1.045943268120612
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 1, 2, 2)",1.0224590320766258
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 1, 2, 2)",1.032807203483495
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 1, 2, 2)",1.0401151324401678
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 1, 2, 3)",0.9050291419756344
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 1, 2, 3)",0.979903753053894
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 1, 2, 3)",0.9445957637838956
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 1, 2, 3)",0.7959666220527652
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 1, 3, 0)",0.513153069061339
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 1, 3, 0)",0.4367278099651039
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 1, 3, 0)",0.652281183078467
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 1, 3, 0)",0.4383396845664389
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 1, 3, 1)",1.0552985404879445
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 1, 3, 1)",0.9972172768091812
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 1, 3, 1)",1.0126052023021863
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 1, 3, 1)",1.036837695892282
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 1, 3, 2)",0.493895457317186
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 1, 3, 2)",0.4487803009927954
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 1, 3, 2)",0.6816783050749475
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 1, 3, 2)",0.440959397572553
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 1, 3, 3)",1.0315497356644243
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 1, 3, 3)",1.0078759796467447
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 1, 3, 3)",1.0245639721528468
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 1, 3, 3)",1.03599940076589
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 2, 0, 0)",0.8364426505208845
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 2, 0, 0)",0.9648468169422776
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 2, 0, 0)",0.9516753356415724
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 2, 0, 0)",0.7930273025099132
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 2, 0, 1)",1.0555747130491118
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 2, 0, 1)",1.0268619828546908
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 2, 0, 1)",1.019055288600614
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 2, 0, 1)",1.03738795073166
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 2, 0, 2)",0.8248698408683368
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 2, 0, 2)",0.9145232207929204
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 2, 0, 2)",0.951461461663772
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 2, 0, 2)",0.7833747806640204
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 2, 0, 3)",1.0510972968787398
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 2, 0, 3)",1.0426961331070146
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 2, 0, 3)",1.0284557830131469
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 2, 0, 3)",1.0369195825357185
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 2, 1, 0)",1.034420213236582
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 2, 1, 0)",1.0329388334367902
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 2, 1, 0)",1.03486270944423
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 2, 1, 0)",1.0368012584350423
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 2, 1, 1)",0.6727921137479754
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 2, 1, 1)",0.7125858078933008
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 2, 1, 1)",0.6973958889168486
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 2, 1, 1)",0.5015537403989122
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 2, 1, 2)",1.032599783264713
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 2, 1, 2)",1.027782757072625
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 2, 1, 2)",1.0131941507262072
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 2, 1, 2)",1.0537245479137534
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 2, 1, 3)",0.6582355181944756
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 2, 1, 3)",0.6831331266088984
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 2, 1, 3)",0.6956727025406699
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 2, 1, 3)",0.5081161844320766
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 2, 2, 0)",0.8279514344134268
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 2, 2, 0)",0.9322123006995614
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 2, 2, 0)",0.949384646542466
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 2, 2, 0)",0.8221475097449354
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 2, 2, 1)",1.0497991276453544
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 2, 2, 1)",1.027864760989215
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 2, 2, 1)",1.0175567645645949
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 2, 2, 1)",1.0335929802552686
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 2, 2, 2)",0.8432008234670992
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 2, 2, 2)",0.9207452795270928
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 2, 2, 2)",0.9495458418288982
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 2, 2, 2)",0.8124203368377838
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 2, 2, 3)",1.0420385717928493
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 2, 2, 3)",1.0417937181367871
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 2, 2, 3)",1.011973592663352
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 2, 2, 3)",1.035312975180876
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 2, 3, 0)",1.025513841244589
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 2, 3, 0)",1.0417383520271
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 2, 3, 0)",1.02337708471436
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 2, 3, 0)",1.033831468387628
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 2, 3, 1)",0.6705969410099499
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 2, 3, 1)",0.685119682855536
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 2, 3, 1)",0.6642073196099798
"(16, 32)",4,4,5,gray,gray,subtractive,random,42,"(1, 3, 2, 3, 1)",0.524430890269827
"(16, 32)",4,4,5,scale_offset,scale_offset,subtractive,random,42,"(1, 3, 2, 3, 2)",1.0454001915671474
"(16, 32)",4,4,5,complement,complement,subtractive,random,42,"(1, 3, 2, 3, 2)",1.0370824687710831
"(16, 32)",4,4,5,sign_value,sign_value,subtractive,random,42,"(1, 3, 2, 3, 2)",1.0351933728751217
